20140604,115,70,2
20101125,139,107,2
20080803,34,19,1
20151113,4,85,2
20161015,47,28,2
20180514,33,56,2
20141002,43,85,4
20120916,125,53,2
20140706,51,134,3
20090408,10,66,3
20090112,9,5,3
20081219,115,15,1
20111217,113,95,4
20090611,34,83,2
20170201,26,135,2
20140422,74,67,1
20110429,64,51,2
20130805,76,24,1
20121102,72,33,1
20130412,45,19,3
20081022,67,95,3
20130313,27,43,3
20090616,92,92,2
20110418,112,19,4
20160622,102,78,2
20160908,59,66,3
20110118,130,18,4
20171115,139,34,4
20120928,151,48,1
20121205,158,129,4
20151121,132,71,4
20100110,14,57,3
20080604,153,67,1
20121230,42,8,3
20161207,43,50,2
20100503,50,31,3
20080711,140,29,4
20081026,128,104,3
20180615,43,64,4
20080218,8,135,2
20151213,107,117,1
20170320,132,115,1
20110307,67,30,1
20120614,82,61,3
20130515,135,115,1
20090410,2,99,4
20180501,90,116,2
20170427,35,22,1
20110816,40,15,2
20130709,39,113,4
20150515,128,142,4
20160717,146,100,1
20080322,95,88,1
20161115,67,4,2
20090814,140,11,1
20101027,111,20,4
20140130,126,14,1
20130304,68,25,2
20080508,117,13,4
20180712,156,63,1
20081129,132,99,2
20100624,47,52,4
20091216,130,35,4
20170408,60,41,3
20080312,61,125,4
20081230,66,65,3
20141118,66,9,4
20110524,108,74,1
20150808,51,116,4
20090326,150,39,2
20130329,112,47,2
20170708,100,112,4
20110912,153,15,4
20160830,101,48,3
20140322,57,91,1
20120223,120,32,3
20080224,58,33,4
20090413,144,20,4
20140902,25,109,4
20140906,84,118,1
20150205,25,140,1
20100609,38,136,2
20161103,60,9,3
20180123,63,59,4
20170714,79,66,4
20120105,23,20,2
20121022,120,126,3
20100408,7,8,4
20140502,112,30,2
20150131,124,131,1
20130510,158,18,4
20131029,84,54,4
20091117,100,91,1
20150728,26,121,1
20180216,32,137,2
20130110,70,3,2
20130509,83,73,4
20170210,143,11,3
20080620,154,16,1
20171108,13,48,1
20150309,36,6,3
20160709,104,27,2
20161218,154,100,4
20111204,12,12,1
20140507,88,126,3
20130227,9,16,2
20120730,28,41,2
20121113,98,28,4
20171011,144,104,3
20091004,62,88,1
20160221,23,31,2
20081001,82,82,4
20130923,89,124,3
20170313,5,130,3
20150715,83,38,1
20111026,33,18,4
20121224,69,55,2
20140405,79,118,2
20100628,32,117,3
20090610,40,51,1
20160531,40,120,2
20150508,79,101,3
20141220,74,17,2
20170407,124,96,3
20130918,113,28,2
20100920,124,58,1
20160824,50,7,1
20080629,39,89,4
20171010,69,17,2
20100505,118,8,2
20180720,123,49,4
20110105,110,133,4
20151013,67,22,1
20111110,40,77,2
20170714,151,10,1
20180311,85,127,3
20131106,129,128,3
20131128,104,30,4
20090826,83,94,4
20150322,53,33,3
20180818,68,80,3
20150704,134,131,3
20120826,64,96,3
20080922,123,64,4
20121011,11,76,2
20131112,19,26,1
20091214,126,3,2
20101114,30,57,4
20111029,99,138,3
20130416,31,83,2
20120415,117,54,4
20160516,32,61,4
20081030,27,113,3
20171025,74,76,4
20170808,37,32,4
20121215,109,37,2
20140721,62,50,1
20170925,58,100,4
20170516,28,3,2
20160313,8,44,1
20180318,127,25,1
20091121,53,101,1
20100511,93,104,3
20101212,141,56,2
20111102,158,4,3
20110313,40,127,2
20130903,103,111,4
20160924,145,70,2
20141029,81,139,1
20080214,25,71,3
20140713,20,119,1
20170817,154,51,1
20120822,6,86,3
20090203,145,50,3
20180512,60,23,4
20090214,13,45,2
20100927,91,44,4
20111224,78,80,3
20080903,131,83,2
20080810,2,5,4
20171007,2,40,4
20120204,128,51,2
20080220,76,112,1
20100728,51,92,4
20110409,153,126,4
20160823,136,62,4
20180730,75,99,2
20140519,31,66,3
20160517,107,5,1
20130327,120,15,4
20121204,83,42,3
20180409,112,71,2
20180813,92,127,2
20151221,149,47,4
20081103,11,35,2
20151223,141,79,2
20130806,150,112,2
20161206,130,105,1
20140923,85,66,4
20180719,47,104,3
20130116,44,100,3
20090604,66,97,4
20140807,64,142,4
20180214,46,105,4
20080919,139,142,4
20150211,76,39,3
20150301,152,75,3
20090118,59,46,1
20151004,108,3,4
20120423,2,127,3
20170405,56,120,4
20160218,39,110,3
20121128,33,143,1
20170703,125,15,3
20170420,67,36,2
20140628,85,5,4
20160627,74,32,3
20170403,65,87,2
20161114,151,60,1
20170331,157,110,4
20150502,25,59,1
20101209,75,79,3
20150314,12,102,3
20140115,128,98,3
20150712,99,117,2
20130302,79,136,1
20180124,138,4,4
20111208,153,76,4
20171020,103,122,3
20150129,56,12,2
20150208,8,62,4
20080208,134,29,1
20180627,146,4,3
20100215,84,75,4
20180421,55,10,1
20100913,156,73,2
20111018,148,87,1
20120804,87,50,2
20090719,21,45,1
20120615,157,6,4
20120805,4,138,3
20091128,50,142,3
20130519,117,36,1
20141021,38,66,2
20160617,41,69,2
20170821,138,115,4
20130410,54,130,1
20130414,39,51,4
20180302,49,21,2
20101019,69,90,4
20171229,19,37,4
20170704,40,103,3
20090202,70,105,3
20180827,27,98,3
20160314,83,132,2
20160807,48,58,1
20160930,38,112,4
20150531,52,3,3
20150302,144,107,1
20130828,52,70,2
20150216,50,135,4
20140328,33,45,2
20080316,119,134,4
20090901,136,135,2
20150308,119,61,2
20160918,95,29,4
20130504,24,64,3
20170601,113,7,1
20160212,64,13,2
20180822,51,2,2
20170808,120,88,4
20140828,124,100,4
20081118,20,94,4
20150822,70,143,4
20170903,156,142,4
20120515,62,85,3
20130829,43,102,4
20080111,21,30,4
20150212,150,126,3
20100124,107,29,4
20130109,77,114,4
20160504,6,66,2
20090512,14,107,2
20131027,92,22,2
20120914,57,77,4
20090602,75,65,2
20090722,5,109,4
20160704,43,18,2
20090507,38,10,1
20080530,94,58,1
20080119,64,104,3
20140529,65,29,4
20141226,53,114,3
20100626,46,84,2
20120308,54,4,4
20120924,92,39,1
20151105,120,12,2
20160810,116,35,4
20090405,26,2,3
20131205,72,16,2
20100507,110,40,4
20150702,65,11,1
20121221,85,133,3
20110423,13,10,4
20091026,123,46,4
20090220,147,142,3
20110611,27,110,1
20121010,19,43,4
20120430,129,113,2
20110412,62,103,2
20081202,38,121,1
20150606,104,44,1
20110131,71,100,4
20090915,152,20,3
20101013,18,48,2
20081106,80,11,1
20090320,17,85,1
20130215,66,76,3
20091029,106,110,4
20151227,40,88,2
20080612,112,85,1
20150601,43,35,1
20131231,33,126,2
20130221,116,117,1
20151112,12,53,4
20140921,94,34,3
20170323,114,37,4
20090101,57,97,1
20140104,16,47,2
20141018,132,89,3
20110911,3,125,2
20110116,126,128,3
20100724,151,83,3
20150422,149,96,4
20100921,60,3,2
20160124,153,88,4
20150604,112,12,3
20120401,24,82,2
20110928,78,19,3
20120229,12,74,1
20160101,18,42,3
20161125,102,110,3
20130324,126,93,1
20150321,137,88,2
20160711,13,4,4
20120625,33,111,1
20100706,75,47,3
20120111,157,117,3
20121023,37,71,4
20091016,88,83,3
20160524,75,134,4
20140313,98,73,1
