20120421,95,10,9
20160607,106,6,8
20100906,30,1,105
20151002,114,26,116
20130623,109,12,112
20100426,132,13,158
20080724,56,42,158
20180531,92,21,109
20170619,131,19,106
20180702,100,40,121
20130712,89,27,106
20050609,107,2,63
20120408,67,6,150
20111224,24,36,155
20171029,85,43,137
20060828,69,0,9
20100428,21,31,150
20080212,38,8,32
20060118,132,28,154
20120416,141,0,33
20081122,103,0,77
20060927,101,36,113
20070929,19,36,18
20070506,93,44,52
20160802,48,6,148
20110830,74,44,50
20050814,12,14,74
20140913,103,29,49
20101119,9,7,4
20150522,72,37,10
20180601,36,30,26
20161118,68,5,50
20090905,1,19,33
20071021,120,34,77
20080327,129,22,145
20060707,48,37,12
20170405,64,4,134
20120209,4,23,102
20160207,59,3,87
20100113,66,25,72
20160608,50,15,84
20100205,112,32,48
20120304,82,4,71
20160510,107,33,54
20140407,95,41,143
20141120,41,15,57
20060412,74,1,87
20130215,20,34,141
20051218,68,18,57
20100604,126,16,137
20060831,46,28,80
20120210,37,42,93
20130127,95,10,72
20130728,94,14,32
20121108,74,30,122
20071117,120,7,31
20130203,81,39,39
20081126,24,37,62
20050712,59,30,150
20161102,64,17,124
20100717,41,12,100
20131004,31,0,39
20100312,97,34,130
20070306,142,42,13
20120811,124,10,131
20170608,80,42,156
20101112,24,22,37
20070402,53,6,48
20130105,49,3,94
20121222,22,44,79
20180909,126,35,43
20130404,88,32,3
20170802,134,24,144
20161130,63,35,80
20091116,3,42,24
20130924,68,33,5
20160811,67,9,107
20150221,89,44,26
20061112,80,24,58
20071225,81,37,18
20090816,131,31,47
20170525,108,29,62
20110127,123,11,3
20110616,63,19,1
20071217,95,8,50
20140515,0,35,44
20180129,100,9,113
20170528,85,11,131
20180613,119,25,129
20080917,54,33,63
20150912,101,37,133
20071226,114,11,10
20110504,4,24,39
20100819,138,40,28
20130610,25,17,11
20050618,125,4,22
20120630,9,24,83
20060721,19,5,106
20161226,118,44,113
20050406,90,8,46
20160307,90,40,32
20061109,104,41,151
20091107,129,39,65
20150309,93,32,111
